2882	0	3	same
2250	2	0	same
1896	26	26	different
1435	23	20	different
418	25	19	different
3734	1	1	same
844	28	36	different
192	9	9	different
2481	0	0	same
1943	59	55	different
2292	0	0	same
1243	35	20	different
1029	36	47	different
2122	1	0	same
3897	0	0	same
1423	26	23	different
3241	0	0	same
3087	0	0	same
3150	0	0	same
2301	1	3	same
1422	17	4	different
1915	37	34	different
3275	0	1	same
439	37	30	different
3546	10	1	different
667	33	33	different
232	29	26	different
2969	0	2	same
1191	19	22	different
2758	0	1	same
2032	0	0	same
3065	1	0	same
1613	26	17	different
1465	11	9	different
3171	0	0	same
307	30	28	different
1816	33	20	different
3429	0	1	same
3874	1	3	same
1256	18	12	different
494	33	25	different
2768	0	2	same
1367	10	12	different
1907	45	48	different
1440	15	4	different
1820	23	21	different
1562	26	29	different
1326	5	3	different
3756	0	1	same
1872	13	7	different
103	8	16	different
2200	1	0	same
1158	30	12	different
2542	1	0	same
3573	2	0	same
483	26	20	different
1362	28	27	different
724	32	29	different
930	19	14	different
3520	0	0	same
438	30	25	different
1568	44	53	different
1317	23	18	different
757	26	32	different
779	6	5	different
1064	3	3	same
1970	12	13	different
2877	0	1	same
73	21	19	different
1566	30	18	different
2981	0	0	same
1434	25	38	different
13	23	15	different
2735	0	0	same
2306	0	0	same
3415	13	11	different
3303	0	1	same
3868	0	1	same
536	16	25	different
125	19	5	different
657	25	16	different
638	11	19	different
2026	1	0	same
2080	0	1	same
2687	0	0	same
3156	0	0	same
449	7	9	different
1346	23	9	different
3249	0	0	same
2888	1	2	same
1047	34	22	different
3054	1	0	same
405	23	17	different
1574	15	13	different
1271	19	16	different
2937	2	0	same
1984	49	43	different
768	22	9	different
2959	0	0	same
847	27	23	different
4004	30	23	different
2277	0	0	same
3185	0	0	same
3478	0	1	same
2557	0	0	same
2830	0	1	same
1825	17	33	different
2740	0	0	same
2395	0	0	same
1751	34	22	different
3051	1	0	same
882	8	12	different
2666	2	2	same
2121	1	1	same
3839	1	0	same
832	40	29	different
1575	11	10	different
3487	0	0	same
2856	0	0	same
3236	0	1	same
3188	1	0	same
1615	33	46	different
1130	13	19	different
1350	45	54	different
3001	1	0	same
3553	0	0	same
1203	22	21	different
3132	0	0	same
1357	38	28	different
2814	1	1	same
3610	0	0	same
3609	0	0	same
3803	0	2	same
1883	42	20	different
49	38	28	different
1702	9	6	different
3354	0	1	same
2056	0	0	same
2464	0	0	same
3761	0	0	same
883	17	29	different
1576	15	15	different
981	29	30	different
85	28	22	different
2234	1	0	same
1929	19	15	different
3662	1	1	same
1179	23	16	different
3086	0	1	same
489	36	29	different
2140	0	0	same
1948	14	10	different
2219	1	3	same
1879	26	41	different
2843	0	0	same
626	31	31	different
2017	0	1	same
1570	23	24	different
1773	21	19	different
